state_culture,times_attacked,times_threatened,stay_teaching,too_tired,want_transfer,satisfied,stud_unprepared,stud_apathetic,stud_absent,standards_plus,job_security,staff_cooperates,rules_enforced,have_supplies,stud_misbehaves,control_homework,control_techniques,control_content,control_materials,control_pd,control_curriculum,money_spent,hours_week,size_contain_class,size_dept_class,outside_income,alt_cert
national,5.5079,0.4559,3.0652,3.1981,3.0603,2.0148,2.217,2.6315,2.5021,2.8,2.7167,1.8207,2.1751,1.9035,2.7365,3.5802,3.4704,2.7368,2.6644,2.3654,2.6081,449.867,37.4406,20.4665,25.8187,5377.33,0.1746
california,7.287,0.4045,2.6993,3.3037,3.1624,1.876,2.3317,2.6389,2.5087,2.6787,3.1384,1.8481,2.1845,1.8446,2.7296,3.6003,3.5176,2.886,2.5821,2.4314,2.8367,638.7021,35.4402,24.4473,30.8713,6230.97,0.147
connecticut,,0.4214,2.9105,3.1861,2.9898,2.1905,2.3632,2.5934,2.5212,2.903,2.7943,1.8847,2.3559,2.0818,2.5486,3.3892,3.3435,2.7511,2.6797,2.3481,2.6522,490.8216,36.1348,18.6985,21.8372,8497.95,0.124
illinois,6.7762,0.4562,2.8058,3.2517,2.9896,2.0352,2.2713,2.7338,2.6026,2.8114,2.6051,1.843,2.1744,1.8466,2.8238,3.6422,3.5855,2.9408,2.7872,2.42,2.9411,439.5644,36.5798,20.906,26.3367,4544.49,0.1123
indiana,5.44,0.4086,3.4235,3.1309,2.9906,2.0955,2.1154,2.5604,2.6014,3.047,2.3722,1.8787,2.1621,1.8396,2.749,3.6696,3.4775,2.8151,2.8238,2.3163,2.7851,413.699,37.7652,22.6938,25.3906,4928.56,0.0905
massachusetts,,0.4245,2.7833,3.2996,2.9915,2.1683,2.4307,2.7166,2.6447,2.824,2.7891,1.8477,2.2978,2.051,2.7393,3.4762,3.4746,2.7569,2.7988,2.2218,2.6868,473.3596,35.1242,19.6757,23.002,4936.72,0.1557
missouri,11.2688,0.4847,2.6884,3.2496,3.028,1.8843,2.2405,2.7641,2.7025,2.7245,2.8169,1.681,2.0507,1.7024,2.7983,3.6449,3.5582,2.9934,2.9341,2.6304,2.9139,382.2618,38.1297,18.6403,22.0942,5371.94,0.1002
new york,5.8363,0.3631,2.6983,3.2779,3.2059,2.0215,2.2603,2.6917,2.5273,2.9342,2.516,1.8218,2.2083,1.9435,2.804,3.5612,3.3812,2.8563,2.8352,2.4665,2.7493,516.0749,35.4815,18.6638,25.9498,6263.62,0.152
ohio,3.9963,0.4366,2.8008,3.2268,3.0374,2.0587,2.1356,2.568,2.4686,2.8677,2.4906,1.8558,2.2383,1.9108,2.7292,3.6674,3.5192,2.7009,2.7126,2.2505,2.5039,416.0471,37.1392,19.8689,25.76,5059.03,0.1108
utah,,0.4133,3.1994,3.1194,3.0676,1.8686,2.3259,2.5803,2.2422,2.5902,2.4862,1.6678,2.0369,1.6565,2.7811,3.7507,3.5515,2.6051,2.5507,2.4397,2.5317,326.0366,36.7629,24.0758,31.6366,5510.27,0.1324
washington,,0.4778,3.2238,3.0951,3.0143,2.0099,2.1185,2.4633,2.2705,2.7996,2.8134,1.8244,2.1826,1.9656,2.6825,3.6428,3.4922,2.7414,2.6459,2.3963,2.6137,439.597,36.2463,21.9888,26.8604,5715.91,0.0851
